"Numbers","Your.ID.Number","Institution.Investigator","Def.ID.number","Species","How.Determined","Day","Month","Year","State","site.code","County","date_id","Latitude","Longitude","wkt_lines","How.Located","Host.Env","Which.Host","host_life_stage","host_sex","Which.env","temp_start","humid_start","wind_start","light.start","temp_end","humid_end","wind_end","light_end","temp_avg","humid_avg","wind_avg","light_avg","Life.Stage","Number.of.ticks","Comments","tested","pathogen1_ricketsia","pathogen2_e_chaf","pathogen3_e_ewingii","pathogen4_borrelia","coinfection"
291,"UCO22Aug2020-1","UCO","UCO22Aug2020-M_F24_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.3877294700145 35.6497264289843,-97.3882259120466 35.6500303009755)","Flag 24","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Male","1","","no",NA,NA,NA,NA,NA
303,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_F25_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"LINESTRING (-97.3882170785585 35.6500320676731,-97.3877206365264 35.6497317290772)","Flag 25","env","na",NA,NA,"woods",27.2,61,0,"na",28.9,45,1.7,"na",28.1,"53",0.9,"na","Nymph","1","","no",NA,NA,NA,NA,NA
321,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_T4_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"na","Trap 4","env","na",NA,NA,"pasture",26.7,79.5,0,"na",30.6,51.5,5,"na",28.7,"65.5",2.5,"na","Nymph","2","","no",NA,NA,NA,NA,NA
399,"UCO22Aug2020-1","UCO","UCO22Aug2020-F_T6_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"na","Trap 6","env","na",NA,NA,"pasture",26.7,79.5,0,"na",30.6,51.5,5,"na",28.7,"65.5",2.5,"na","Female","1","","no",NA,NA,NA,NA,NA
400,"UCO22Aug2020-1","UCO","UCO22Aug2020-Ny_T6_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"na","Trap 6","env","na",NA,NA,"pasture",26.7,79.5,0,"na",30.6,51.5,5,"na",28.7,"65.5",2.5,"na","Nymph","20","","no",NA,NA,NA,NA,NA
479,"UCO22Aug2020-1","UCO","UCO22Aug2020-F_T7_NT","Amblyomma americanum","Morphology",22,"August",2020,"Oklahoma","Arcadia","Oklahoma","22-Aug-20",35.65,-97.39,"na","Trap 7","env","na",NA,NA,"pasture",26.7,79.5,0,"na",30.6,51.5,5,"na",28.7,"65.5",2.5,"na","Female","1","","no",NA,NA,NA,NA,NA
69,"UCO15Feb2020-1","UCO","UCO15Feb2020-F_T10_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 10","env","na",NA,NA,"pasture",16.1,44,8,"na",13.9,48,8,"na",15,"46",8,"na","Female","1","","no",NA,NA,NA,NA,NA
70,"UCO15Feb2020-1","UCO","UCO15Feb2020-M_T10_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 10","env","na",NA,NA,"pasture",16.1,44,8,"na",13.9,48,8,"na",15,"46",8,"na","Male","1","","no",NA,NA,NA,NA,NA
149,"UCO15Feb2020-1","UCO","UCO15Feb2020-F_T12_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 12","env","na",NA,NA,"pasture",16.1,44,8,"na",13.9,48,8,"na",15,"46",8,"na","Female","1","","no",NA,NA,NA,NA,NA
150,"UCO15Feb2020-1","UCO","UCO15Feb2020-M_T12_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 12","env","na",NA,NA,"pasture",16.1,44,8,"na",13.9,48,8,"na",15,"46",8,"na","Male","1","","no",NA,NA,NA,NA,NA
203,"UCO15Feb2020-1","UCO","UCO15Feb2020-M_T2_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 2","env","na",NA,NA,"woods",15,44,8,"na",12.8,48,8,"na",13.9,"46",8,"na","Male","2","","no",NA,NA,NA,NA,NA
239,"UCO15Feb2020-1","UCO","UCO15Feb2020-M_T3_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 3","env","na",NA,NA,"woods",15,44,8,"na",12.8,48,8,"na",13.9,"46",8,"na","Male","1","","no",NA,NA,NA,NA,NA
389,"UCO15Feb2020-1","UCO","UCO15Feb2020-Ny_T6_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 6","env","na",NA,NA,"woods",15,44,8,"na",12.8,48,8,"na",13.9,"46",8,"na","Nymph","1","","no",NA,NA,NA,NA,NA
499,"UCO15Feb2020-1","UCO","UCO15Feb2020-F_T8_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 8","env","na",NA,NA,"woods",15,44,8,"na",12.8,48,8,"na",13.9,"46",8,"na","Female","1","","no",NA,NA,NA,NA,NA
500,"UCO15Feb2020-1","UCO","UCO15Feb2020-M_T8_NT","Amblyomma americanum","Morphology",15,"February",2020,"Oklahoma","Arcadia","Oklahoma","15-Feb-20",35.65,-97.39,"na","Trap 8","env","na",NA,NA,"woods",15,44,8,"na",12.8,48,8,"na",13.9,"46",8,"na","Male","1","","no",NA,NA,NA,NA,NA
22,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T1_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","79","","no",NA,NA,NA,NA,NA
23,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_D3_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3884308489709 35.6498624647013,-97.3878372385695 35.6495462258268)","Drag 3","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Male","1","","no",NA,NA,NA,NA,NA
24,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_D8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3878566722434 35.6495161919672,-97.3884661829234 35.6498341975393)","Drag 8","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","1","","no",NA,NA,NA,NA,NA
30,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T1_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","73","","no",NA,NA,NA,NA,NA
31,"UCO13Mar2020-1","UCO","","Dermacentor variabilis","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","5","","","","","","",NA
63,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T10_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 10","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","3","","no",NA,NA,NA,NA,NA
88,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T11_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 11","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","1","","no",NA,NA,NA,NA,NA
89,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T11_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 11","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Male","2","","no",NA,NA,NA,NA,NA
148,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T12_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 12","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","10","","no",NA,NA,NA,NA,NA
172,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T13_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 13","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Male","1","","no",NA,NA,NA,NA,NA
183,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T16_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 16","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","1","","no",NA,NA,NA,NA,NA
184,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T16_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 16","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Male","1","","no",NA,NA,NA,NA,NA
196,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T2_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 2","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","14","","no",NA,NA,NA,NA,NA
197,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T2_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 2","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","11","","no",NA,NA,NA,NA,NA
232,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T3_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 3","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","13","","no",NA,NA,NA,NA,NA
233,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T3_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 3","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","16","","no",NA,NA,NA,NA,NA
277,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T4_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 4","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","24","","no",NA,NA,NA,NA,NA
278,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T4_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 4","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","30","","no",NA,NA,NA,NA,NA
279,"UCO13Mar2020-1","UCO","","Dermacentor variabilis","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 4","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","3","","","","","","",NA
310,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_F5_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3883733009699 35.649908778072,-97.3878052660104 35.6495978536731)","Flag 5","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","3","","no",NA,NA,NA,NA,NA
311,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_F5_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3883733009699 35.649908778072,-97.3878052660104 35.6495978536731)","Flag 5","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","2","","no",NA,NA,NA,NA,NA
312,"UCO13Mar2020-1","UCO","UCO13Mar2020-Ny_F5_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3883733009699 35.649908778072,-97.3878052660104 35.6495978536731)","Flag 5","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Nymph","2","","no",NA,NA,NA,NA,NA
340,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T5_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 5","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","26","","no",NA,NA,NA,NA,NA
341,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T5_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 5","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","27","","no",NA,NA,NA,NA,NA
417,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T7_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 7","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","29","","no",NA,NA,NA,NA,NA
418,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T7_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 7","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","21","","no",NA,NA,NA,NA,NA
454,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_F7_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3883583526815 35.6499192418739,-97.3877992866951 35.6496098123039)","Flag 7","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","1","","no",NA,NA,NA,NA,NA
455,"UCO13Mar2020-1","UCO","UCO13Mar2020-Ny_F7_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3883583526815 35.6499192418739,-97.3877992866951 35.6496098123039)","Flag 7","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Nymph","2","","no",NA,NA,NA,NA,NA
461,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_F8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3877948378266 35.6496168937317,-97.3883531142755 35.6499260658157)","Flag 8","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","1","","no",NA,NA,NA,NA,NA
462,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_F8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3877948378266 35.6496168937317,-97.3883531142755 35.6499260658157)","Flag 8","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","1","","no",NA,NA,NA,NA,NA
471,"UCO13Mar2020-1","UCO","UCO13Mar2020-Ny_F8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"LINESTRING (-97.3877948378266 35.6496168937317,-97.3883531142755 35.6499260658157)","Flag 8","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Nymph","1","","no",NA,NA,NA,NA,NA
491,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 8","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Female","15","","no",NA,NA,NA,NA,NA
492,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T8_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 8","env","na",NA,NA,"woods",27.3,27.1,4.3,"na",31.1,28.2,1,"na",29.2,"27.7",2.7,"na","Male","13","","no",NA,NA,NA,NA,NA
554,"UCO13Mar2020-1","UCO","UCO13Mar2020-F_T9_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 9","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Female","2","","no",NA,NA,NA,NA,NA
555,"UCO13Mar2020-1","UCO","UCO13Mar2020-M_T9_NT","Amblyomma americanum","Morphology",13,"March",2020,"Oklahoma","Arcadia","Oklahoma","13-Mar-20",35.65,-97.39,"na","Trap 9","env","na",NA,NA,"pasture",29,28,4.3,"na",30.8,32,3.2,"na",29.9,"30",3.8,"na","Male","1","","no",NA,NA,NA,NA,NA
550,"na","UCO","UCO5Nov2020 -No_ticks1",NA,"na",5,"November",2020,"Oklahoma","Arcadia","Oklahoma","5-Nov-20",35.65,-97.39,"na","full_centroid","env","na",NA,NA,"centroid",21.5,53,2.5,"na",27.2,42,1,"na",24.4,"47.5",1.8,"na",NA,"0",NA,NA,NA,NA,NA,NA,NA
551,"na","UCO","UCO20Nov2020-No_ticks2",NA,"na",20,"November",2020,"Oklahoma","Arcadia","Oklahoma","20-Nov-20",35.65,-97.39,"na","full_centroid","env","na",NA,NA,"centroid",21.6,57.2,2.6,"na",24.6,46.8,4,"na",23.1,"52",3.3,"na",NA,"0",NA,NA,NA,NA,NA,NA,NA
20,"UCO10Oct2020-1","UCO","UCO10Oct2020-M_T1_NT","Amblyomma americanum","Morphology",10,"October",2020,"Oklahoma","Arcadia","Oklahoma","10-Oct-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",22.2,82,1.6,"na",21.9,88.7,0,"na",22.1,"85.4",0.8,"na","Male","1","","no",NA,NA,NA,NA,NA
21,"UCO10Oct2020-1","UCO","UCO10Oct2020-Ny_T1_NT","Amblyomma americanum","Morphology",10,"October",2020,"Oklahoma","Arcadia","Oklahoma","10-Oct-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",22.2,82,1.6,"na",21.9,88.7,0,"na",22.1,"85.4",0.8,"na","Nymph","8","","no",NA,NA,NA,NA,NA
416,"UCO10Oct2020-1","UCO","UCO10Oct2020-Ny_T7_NT","Amblyomma americanum","Morphology",10,"October",2020,"Oklahoma","Arcadia","Oklahoma","10-Oct-20",35.65,-97.39,"na","Trap 7","env","na",NA,NA,"woods",22.2,82,1.6,"na",21.9,88.7,0,"na",22.1,"85.4",0.8,"na","Nymph","7","","no",NA,NA,NA,NA,NA
62,"UCO7Sep2020-1","UCO","UCO7Sep2020-Ny_T1_NT","Amblyomma americanum","Morphology",7,"September",2020,"Oklahoma","Arcadia","Oklahoma","7-Sep-20",35.65,-97.39,"na","Trap 1","env","na",NA,NA,"woods",26.2,73.2,1.5,"na",29.3,61.8,3.5,"na",27.8,"67.5",2.5,"na","Nymph","1","","no",NA,NA,NA,NA,NA
127,"UCO7Sep2020-1","UCO","UCO7Sep2020-Ny_F15_NT","Amblyomma americanum","Morphology",7,"September",2020,"Oklahoma","Arcadia","Oklahoma","7-Sep-20",35.65,-97.39,"LINESTRING (-97.3882948132539 35.6499737666516,-97.3877630372693 35.6496698946604)","Flag 15","env","na",NA,NA,"woods",26.2,73.2,1.5,"na",29.3,61.8,3.5,"na",27.8,"67.5",2.5,"na","Nymph","1","","no",NA,NA,NA,NA,NA
231,"UCO7Sep2020-1","UCO","UCO7Sep2020-Ny_T2_NT","Amblyomma americanum","Morphology",7,"September",2020,"Oklahoma","Arcadia","Oklahoma","7-Sep-20",35.65,-97.39,"na","Trap 2","env","na",NA,NA,"woods",26.2,73.2,1.5,"na",29.3,61.8,3.5,"na",27.8,"67.5",2.5,"na","Nymph","3","","no",NA,NA,NA,NA,NA
276,"UCO7Sep2020-1","UCO","UCO7Sep2020-Ny_T3_NT","Amblyomma americanum","Morphology",7,"September",2020,"Oklahoma","Arcadia","Oklahoma","7-Sep-20",35.65,-97.39,"na","Trap 3","env","na",NA,NA,"woods",26.2,73.2,1.5,"na",29.3,61.8,3.5,"na",27.8,"67.5",2.5,"na","Nymph","7","","no",NA,NA,NA,NA,NA
